LCE_fold0
{'loss': 1.1548, 'learning_rate': 8e-05, 'epoch': 1.0}
{'loss': 1.1522, 'learning_rate': 0.00016, 'epoch': 2.0}
{'loss': 0.1528, 'learning_rate': 0.00024, 'epoch': 2.13}
{'loss': 0.8074, 'learning_rate': 0.00032, 'epoch': 3.0}
{'loss': 0.6856, 'learning_rate': 0.0004, 'epoch': 4.0}
{'loss': 0.1017, 'learning_rate': 0.00048, 'epoch': 4.27}
{'loss': 0.1843, 'learning_rate': 0.0005600000000000001, 'epoch': 5.0}
{'loss': 0.1716, 'learning_rate': 0.00064, 'epoch': 6.0}
{'loss': 0.0561, 'learning_rate': 0.0007199999999999999, 'epoch': 6.4}
{'loss': 0.0897, 'learning_rate': 0.0008, 'epoch': 7.0}
{'loss': 0.1314, 'learning_rate': 0.00088, 'epoch': 8.0}
{'loss': 0.0581, 'learning_rate': 0.00096, 'epoch': 8.53}
{'loss': 0.0795, 'learning_rate': 0.0010400000000000001, 'epoch': 9.0}
{'loss': 0.181, 'learning_rate': 0.0011200000000000001, 'epoch': 10.0}
{'loss': 0.0772, 'learning_rate': 0.0012, 'epoch': 10.67}
{'loss': 0.0478, 'learning_rate': 0.00128, 'epoch': 11.0}
{'loss': 0.0981, 'learning_rate': 0.00136, 'epoch': 12.0}
{'loss': 0.0878, 'learning_rate': 0.0014399999999999999, 'epoch': 12.8}
{'loss': 0.0056, 'learning_rate': 0.00152, 'epoch': 13.0}
{'loss': 0.0956, 'learning_rate': 0.0016, 'epoch': 14.0}
{'loss': 0.3813, 'learning_rate': 0.00168, 'epoch': 14.93}
{'loss': 0.0251, 'learning_rate': 0.00176, 'epoch': 15.0}
{'loss': 0.0737, 'learning_rate': 0.00184, 'epoch': 16.0}
{'loss': 0.1535, 'learning_rate': 0.00184, 'epoch': 17.0}
{'loss': 0.0002, 'learning_rate': 0.00192, 'epoch': 17.07}
{'loss': 0.3167, 'learning_rate': 0.002, 'epoch': 18.0}
{'loss': 1.1466, 'learning_rate': 0.0020800000000000003, 'epoch': 19.0}
{'loss': 0.1923, 'learning_rate': 0.00216, 'epoch': 19.2}
{'loss': 0.1552, 'learning_rate': 0.0022400000000000002, 'epoch': 20.0}
{'loss': 0.1312, 'learning_rate': 0.00232, 'epoch': 21.0}
{'loss': 0.0591, 'learning_rate': 0.0024, 'epoch': 21.33}
{'loss': 0.0699, 'learning_rate': 0.00248, 'epoch': 22.0}
{'loss': 0.7442, 'learning_rate': 0.00248, 'epoch': 23.0}
{'loss': 0.3691, 'learning_rate': 0.00256, 'epoch': 23.47}
